GameID,Season,Fight_Time,Period,Period_Label,Team,Opponent,Is_Home,Score_State_At_Fight,Was_Trailing,Corsi_Before,Corsi_After,Corsi_Delta,Shots_Before,Shots_After,Shots_Delta,Goals_Before,Goals_After,xG_Before,xG_After,xG_Delta,Gained_Momentum
2010020017,2010,2643,3,Period 3,NJD,WSH,0,-4,1,3.0,3.0,0.0,2.0,0.0,-2.0,0.0,0.0,0.0960259902772649,0.1356447967572055,0.03961880647994061,0
2010020017,2010,2643,3,Period 3,WSH,NJD,1,4,0,6.0,5.0,-1.0,4.0,2.0,-2.0,2.0,0.0,0.8086359537312928,0.2342478839997544,-0.5743880697315384,0
2010020017,2010,3343,3,Period 3,NJD,WSH,0,-5,1,4.0,3.0,-1.0,2.0,1.0,-1.0,0.0,0.0,0.0596007340643981,0.0283239180492491,-0.031276816015149,0
2010020017,2010,3343,3,Period 3,WSH,NJD,1,5,0,4.0,3.0,-1.0,2.0,2.0,0.0,0.0,0.0,0.38642792409349724,0.27908234758494277,-0.10734557650855447,0
2010020017,2010,3347,3,Period 3,NJD,WSH,0,-5,1,4.0,3.0,-1.0,2.0,1.0,-1.0,0.0,0.0,0.0596007340643981,0.0283239180492491,-0.031276816015149,0
2010020017,2010,3347,3,Period 3,WSH,NJD,1,5,0,4.0,3.0,-1.0,2.0,2.0,0.0,0.0,0.0,0.38642792409349724,0.27908234758494277,-0.10734557650855447,0
2010020017,2010,3349,3,Period 3,WSH,NJD,1,5,0,4.0,3.0,-1.0,2.0,2.0,0.0,0.0,0.0,0.38642792409349724,0.27908234758494277,-0.10734557650855447,0
2010020017,2010,3349,3,Period 3,NJD,WSH,0,-5,1,4.0,3.0,-1.0,2.0,1.0,-1.0,0.0,0.0,0.0596007340643981,0.0283239180492491,-0.031276816015149,0
2010020019,2010,2156,2,Period 2,PHI,STL,0,-1,1,2.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0436207483440963,0.1959391077433622,0.1523183593992659,1
2010020019,2010,2156,2,Period 2,STL,PHI,1,1,0,3.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.4677055598569622,0.1191326586798805,-0.34857290117708173,1
2010020020,2010,665,1,Period 1,NSH,ANA,1,0,0,6.0,7.0,1.0,3.0,4.0,1.0,0.0,0.0,0.14668799320353992,0.1024895188356407,-0.044198474367899226,1
2010020020,2010,665,1,Period 1,ANA,NSH,0,0,0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.054880575351177394,0.034775870062914,-0.020104705288263393,1
2010020028,2010,483,1,Period 1,NYR,NYI,0,0,0,7.0,4.0,-3.0,5.0,1.0,-4.0,0.0,0.0,0.31434961579765686,0.3685486138209226,0.05419899802326572,0
2010020028,2010,483,1,Period 1,NYI,NYR,1,0,0,2.0,5.0,3.0,1.0,3.0,2.0,0.0,1.0,0.0557246918682323,0.6271013872367728,0.5713766953685405,1
2010020029,2010,1383,2,Period 2,ANA,STL,0,-2,1,2.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.2764064963445056,0.2764064963445056,1
2010020029,2010,1383,2,Period 2,STL,ANA,1,2,0,4.0,9.0,5.0,4.0,6.0,2.0,0.0,1.0,0.3705761409700998,1.0054760138184293,0.6348998728483295,1
2010020029,2010,2984,3,Period 3,STL,ANA,1,3,0,9.0,6.0,-3.0,4.0,3.0,-1.0,0.0,0.0,0.8324718657591172,0.515084405813426,-0.3173874599456913,0
